Mname,Director,Cname,release_date
PARASITE;GISAENGCHUNG;HANJA,BONG JOON HO,Neon,2019-10-11T00:00:00Z
TOY STORY 4,JOSH COOLEY,Disney/Pixar,2019-06-21T00:00:00Z
GEMINI MAN,ANG LEE,Paramount Pictures,2019-10-11T00:00:00Z
THE LION KING,JON FAVREAU,Walt Disney Pictures,2019-07-19T00:00:00Z
"CROUCHING TIGER,HIDDEN DRAGON",ANG LEE,Sony Pictures Classics,2000-12-08T00:00:00Z
