Cname,FoundedDate,Headquarters
Neon,2017-01-01T00:00:00Z,"New York City,New York,U.S."
Disney/Pixar,1986-02-03T00:00:00Z,"1200 Park Avenue,Emeryville,California,United States"
Paramount Pictures,1912-05-08T00:00:00Z,"5555 Melrose Avenue,Hollywood,California,United States"
Walt Disney Pictures,1923-10-16T00:00:00Z,"500 South Buena Vista Street,Burbank,California,United States"
Sony Pictures Classics,1992-01-01T00:00:00Z,"New York City, New York, United States"
